variety,type,trait,domain,maturity_ds,maturity_ws,yield
PD 8230,Hybrid,Yellow,Luzon,105,103,7.66
PD 8230,Hybrid,Yellow,Mindanao,105,103,7.66
BC 81163,Hybrid,Yellow,Luzon,109,107,7.17
BC 81163,Hybrid,Yellow,Mindanao,109,107,7.17
BC 42683,Hybrid,Yellow,Luzon,109,106,7.48
DANA 1107,Hybrid,Yellow,Luzon,105,101,7.18
DANA 1107,Hybrid,Yellow,Visayas,105,101,7.18
DANA 8255,Hybrid,Yellow,Luzon,106,102,6.97
DANA 8255,Hybrid,Yellow,Visayas,106,102,6.97
TSG 222,Hybrid,Yellow,Luzon,111,103,7.4
TSG 222,Hybrid,Yellow,Mindanao,111,103,7.4
TSG 361,Hybrid,Yellow,Luzon,100,109,7.21
TSG 361,Hybrid,Yellow,Mindanao,100,109,7.21
CW 112w,Hybrid,White,Visayas,104,102,6.81
TSG 108w,Hybrid,White,Visayas,100,103,6.55
TSG 108w,Hybrid,White,Mindanao,100,103,6.55
USM Var 30,Hybrid,White,Visayas,100,103,6.23
BIO #1,OPV,White,Mindanao,106,103,5.19
USM Var 28,OPV,White,Visayas,100,103,4.59
MMSU Glut 1,OPV Glutinous Corn,White,Luzon,99,94,5.61
H 212 wx Glut,OPV Glutinous Corn,White,Luzon,105,100,5
SAMPANN,Hybrid,Yellow,Luzon,108,106,7.93
S 6219,Hybrid,Yellow,National,107,108,8.2
S 6259,Hybrid,Yellow,National,107,103,8.08
J757,Hybrid,Yellow,Visayas,102,102,7.26
J707,Hybrid,Yellow,Visayas,100,102,7.15
J505,Hybrid,Yellow,Luzon,101,103,7.9
J505,Hybrid,Yellow,Mindanao,101,103,7.9
IES 09-2w,OPV,White,Luzon,107,100,5.38
EG 501,Hybrid,Yellow,Luzon,108,101,7.2
EG 501,Hybrid,Yellow,Visayas,108,101,7.2
 S 6689,Hybrid,Yellow,National,109,105,7.9
S 6410,Hybrid,Yellow,National,106,104.5,7.73
PAC339,Hybrid,Yellow,Luzon,107.3,103,7.06
PAC339,Hybrid,Yellow,Visayas,107.3,103,7.06
PAC 999 Super,Hybrid,Yellow,Luzon,108,197.1,7.11
PAC 999 Super,Hybrid,Yellow,Visayas,108,197.1,7.11
P 4097,Hybrid,Yellow,Luzon,110,103,7.24
P 3668,Hybrid,Yellow,Luzon,110,102.4,7.68
X8B649,Hybrid,Yellow,Luzon,107,103,7.76
X8B649,Hybrid,Yellow,Visayas,107,103,7.76
CW 1630,Hybrid,Yellow,Luzon,107.5,104,7.57
CW 1630,Hybrid,Yellow,Visayas,107.5,104,7.57
BIO 62556,Hybrid,Yellow,Luzon,109,103,7.52
DK 6919,Hybrid,Yellow,Luzon,106,102,7.47
DK 6919,Hybrid,Yellow,Visayas,106,102,7.47
USM Var 32,OPV,White,Luzon,110,100,5.52
IPB Glut Q OB,OPV Special Type,White,Luzon,103,101,4.43
IPB Glut Q OB,OPV Special Type,White,Mindanao,103,101,4.43
IPB Glut Q LB,OPV Special Type,White,Luzon,103,100,4.37
IPB Glut Q LB,OPV Special Type,White,Mindanao,103,100,4.37
DK 7878RRC2,Hybrid,Yellow,Luzon,105,104,7.35
DK 7878RRC2,Hybrid,Yellow,Mindanao,105,104,7.35
P3645 YR,Hybrid,Yellow,Mindanao,107.4,106,6.48
DK 6818,Hybrid,Yellow,National,104,105,7.89
X5,Hybrid,Yellow,Luzon,104,102,7.36
X5,Hybrid,Yellow,Visayas,104,102,7.36
BIO 81163,Hybrid,Yellow,National,108,111.6,5.94
BIO 91538,Hybrid,Yellow,Luzon,106,105,7.11
BIO 91538,Hybrid,Yellow,Mindanao,106,105,7.11
EG 701,Hybrid,Yellow,Visayas,103,102,7.64
IES Cn 7y,OPV,Yellow,National,107.8,104.3,5.73
IES Cn9,OPV,Yellow,National,104,104,5.92
IES 10-04w,OPV,White,Luzon,106,102,5.31
IES 10-04w,OPV,White,Visayas,106,102,5.31
USM Var 34,OPV,White,Luzon,110,100,6.25
P 4097 YR,Hybrid,Yellow,Luzon,108,104,6.88
P 3990 YR,Hybrid,Yellow,Luzon,110,104,7.34
P 3774 YR,Hybrid,Yellow,Luzon,108,103,7.79
P 3774 YR,Hybrid,Yellow,Mindanao,108,103,7.79
TEOSINTE 200,Hybrid,Yellow,Luzon,106,106,7.36
B1001236,Hybrid,Yellow,Luzon,106,103,6.82
CSC Var 1,OPV,Yellow,Luzon,104,100,6.05
USM Var 40,OPV,White,Luzon,107,105,6.02
USM Var 40,OPV,White,Mindanao,107,105,6.02
USM Var 38,OPV,White,Mindanao,108,108,5.82
USM Var 36,OPV,White,Luzon,103,104,6.09
USM Var 36,OPV,White,Mindanao,103,104,6.09
USM nch 33,OPV Non-Inbred Hybrid Variety,Yellow,National,105,104,7.47
USM nch 35,OPV Non-Inbred Hybrid Variety,White,National,106,104,6.89
IES Glut 10,OPV Glutinous Corn,White,Mindanao,104,104,4.24
IES Glut 8,OPV Glutinous Corn,White,Visayas,104,101,4.56
IES Glut 8,OPV Glutinous Corn,White,Mindanao,104,101,4.56
IES Cn 11y,OPV,Yellow,Luzon,107,105,6.23
IES Cn 11y,OPV,Yellow,Mindanao,107,105,6.23
CW-RHB 701,Hybrid,Yellow,Luzon,108.6,105,7.55
BH 102 G,Hybrid,Yellow,Luzon,104.4,107.66,8.31
EG 803w ,Hybrid,White,Mindanao,107,104,7
SMQ 6349w,Hybrid,White,Visayas,102.3,101.66,5.92
USM nch 39,OPV,Yellow,National,113.7,103.3,6.66
USM nch 37,OPV,Yellow,National,105.3,102,6.57
CVRC Cn 13,OPV,Yellow,Mindanao,104.25,107.33,5.65
White Flint  12-06,OPV,White,Luzon,105.11,100.33,5.77
White Flint  12-06,OPV,White,Mindanao,105.11,100.33,5.77
B9540R,Hybrid Genetically Modified,Yellow,Luzon,105,105,10.37
B9541R,Hybrid Genetically Modified,Yellow,Luzon,103,103,9.09
B9909R,Hybrid Genetically Modified,Yellow,Mindanao,100,,8.54
B9909G,Hybrid Genetically Modified,Yellow,Mindanao,100.5,,8.24
P3640WR,Hybrid Genetically Modified,Yellow,Mindanao,102,101,5.2
8899C,Hybrid Single Cross,Yellow,Luzon,104.7,104,8.84
8899C,Hybrid Single Cross,Yellow,Visayas,104.7,104,8.84
6777C,Hybrid Single Cross,Yellow,National,104.8,102.6,8.27
CW HR8,Hybrid Single Cross,Yellow,Luzon,105,107,7.65
CW-RHB 709,Hybrid Single Cross,Yellow,Luzon,107,104,7.98
EG 501,Hybrid Modified Single Cross,Yellow,National,108,108,7.12
USM Var 41,OPV,Yellow,Visayas,103,102,7.74
USM Var 41,OPV,Yellow,Mindanao,103,102,7.74
MMSU Glut 2,OPV Glutinous Corn,White,Visayas,99,98,5.33
DEKALB 6818S Genuity ®,Hybrid,Yellow,Luzon,105,,9.63
DEKALB 6818S Genuity ®,Hybrid,Yellow,Mindanao,105,,9.63
DEKALB 6919S Genuity ®,Hybrid,Yellow,Luzon,104,,9.64
DEKALB 6919S Genuity ®,Hybrid,Yellow,Mindanao,104,,9.64
DEKALB 7898S Genuity ®,Hybrid,Yellow,Luzon,105,,9.38
DEKALB 7898S Genuity ®,Hybrid,Yellow,Mindanao,105,,9.38
DK 6999,Hybrid,Yellow,National,106,105,10.1
B9545,Hybrid,Yellow,Luzon,106,101,11.39
B9540G,Hybrid,Yellow,Luzon,,108,6.26
B9541G,Hybrid,Yellow,Luzon,,105,8.46
P4124YR,Hybrid,Yellow,Mindanao,103.8,106.5,7.94
P3774R,Hybrid,Yellow,Luzon,108,103.75,7.87
P4097R,Hybrid,Yellow,Luzon,106.4,102.5,7.95
NK6410BtGT,Hybrid Genetically Modified,Yellow,Luzon,108,106,8.56
NK6410BtGT,Hybrid Genetically Modified,Yellow,Mindanao,108,106,8.56
Agrisure NK8840 EZ Refuge,Hybrid Genetically Modified,Yellow,Luzon,109,106,8.17
Agrisure NK8840 EZ Refuge,Hybrid Genetically Modified,Yellow,Mindanao,109,106,8.17
PR 8719,Hybrid,Yellow,National,108,104,9.48
PR 8531,Hybrid,Yellow,National,107,103,9.13
PR 9118,Hybrid,Yellow,National,108,104,9.2
CVRC Cn 15,OPV,Yellow,Luzon,106,104,5.32
MMSU Glut 3,OPV Glutinous Corn,White,Luzon,98,96,5.2
CVRC Glut No. 12,OPV Glutinous Corn,White,Luzon,103,99,4.68
CVRC Glut No. 12,OPV Glutinous Corn,White,Mindanao,103,99,4.68
DK 6999S,Hybrid Genetically Modified,Yellow,Luzon,110,104,7.76
DK 6999S,Hybrid Genetically Modified,Yellow,Mindanao,110,104,7.76
DEKALB 9898S,Hybrid Genetically Modified,Yellow,Luzon,108,103,7.63
DEKALB 9898S,Hybrid Genetically Modified,Yellow,Mindanao,108,103,7.63
NK 306BtGt,Hybrid Genetically Modified,Yellow,Luzon,110,105,8.65
NK 306BtGt,Hybrid Genetically Modified,Yellow,Mindanao,110,105,8.65
NK 6505BtGt,Hybrid Genetically Modified,Yellow,Luzon,109,104,8.47
NK 6505BtGt,Hybrid Genetically Modified,Yellow,Mindanao,109,104,8.47
P3774YHR,Hybrid Genetically Modified,Yellow,Luzon,108,,6.66
P3774YHR,Hybrid Genetically Modified,Yellow,Mindanao,108,,6.66
P4124YHR,Hybrid Genetically Modified,Yellow,Mindanao,115,,10.5
B9545RR,Hybrid Genetically Modified,Yellow,Luzon,107,,8.96
J505,Hybrid Genetically Modified,Yellow,Luzon,,102,9.36
J505,Hybrid Genetically Modified,Yellow,Mindanao,,102,9.36
PAC 139,Hybrid,Yellow,National,107,,8.37
PAC 779,Hybrid,Yellow,Mindanao,104,109.4,8.56
BC91528,Hybrid,Yellow,Luzon,104.4,103.4,6.84
BC91528,Hybrid,Yellow,Visayas,104.4,103.4,8.48
AH SUPREME 5150,Hybrid Biotech Stack -Trait ,Other,Mindanao,107.2,106.6,7.27
P3530YHR,Hybrid Biotech Stack -Trait ,Other,Luzon,109.25,105.8,7.65
P3530YHR,Hybrid Biotech Stack -Trait ,Other,Mindanao,109.25,105.8,8.36
P3530R,Hybrid Biotech RR ,Other,Luzon,109,106,8.56
P3530R,Hybrid Biotech RR ,Other,Mindanao,109,106,8.56
PAC 777,Hybrid Conventional,Other,Mindanao,105,106,8.53
K-509,Hybrid Conventional,Other,Mindanao,103,107,8.52
K-511,Hybrid Conventional,Other,Mindanao,102,105,8.83
PAC 1510003,Hybrid Conventional,Other,Visayas,104,103,8.01
PAC 1510066,Hybrid Conventional,Other,Visayas,104,101,7.29
IPB 1910,OPV,Other,Luzon,107,104,4.65
PAC 339 VT2 PRO,Hybrid Biotech Stack -Trait ,Other,Luzon,106,,7.7
PAC 999 VT2 PRO,Hybrid Biotech Stack -Trait ,Other,Luzon,105,,7.9
B9545G,Hybrid Biotech Stack -Trait ,Other,Luzon,107,,8.8
B9899G,Hybrid Biotech Stack -Trait ,Other,Luzon,105,,9.12
B9899G,Hybrid Biotech Stack -Trait ,Other,Mindanao,105,,8.94
H101G,Hybrid Biotech Stack -Trait ,Other,Luzon,104,,10
H102G,Hybrid Biotech Stack -Trait ,Other,Luzon,106,,10.7
DK8899S,Hybrid Biotech Stack -Trait ,Other,Luzon,106,106,9.2
DK8899S,Hybrid Biotech Stack -Trait ,Other,Mindanao,106,106,8.26
SS6414BtGt,Hybrid Biotech Stack -Trait ,Other,Luzon,109,108,9.12
SS6414BtGt,Hybrid Biotech Stack -Trait ,Other,Mindanao,109,108,9.45
P4097YHR,Hybrid Biotech Stack -Trait ,Other,Luzon,120,,6.6
FARCO 58,OPV,Other,Visayas,104,104,7.33
FARCO 58,OPV,Other,Mindanao,104,104,5.57
MMSU BMIR Glut1,OPV Glutinous Corn,White,Luzon,103,101,5.36
CVRC Glut# 18-14,OPV Glutinous Corn,White,Luzon,103,100,4.78
CVRC Glut# 18-14,OPV Glutinous Corn,White,Visayas,103,100,5.6
FARCO 88,Hybrid Conventional,Other,Mindanao,107,106,6.34
K-508,Hybrid Conventional,Other,Mindanao,108,108,7.64
DEKALB®9118S VTDoublePro RIB Complete,Hybrid Biotech Stack -Trait ,Other,Luzon,108,106,10.06
DEKALB®9118S VTDoublePro RIB Complete,Hybrid Biotech Stack -Trait ,Other,Mindanao,108,106,8.9
DEKALB®8719S VTDoublePro RIB Complete,Hybrid Biotech Stack -Trait ,Other,Luzon,108,106,10.3
DEKALB®8719S VTDoublePro RIB Complete,Hybrid Biotech Stack -Trait ,Other,Mindanao,108,106,8.79
DEKALB®9919S VTDoublePro RIB Complete,Hybrid Biotech Stack -Trait ,Other,Luzon,107,105,7.79
DEKALB®9919S VTDoublePro RIB Complete,Hybrid Biotech Stack -Trait ,Other,Mindanao,107,105,7.79
IPB Var DM1,OPV,Other,Mindanao,107,106,5.25
CW 1840,Hybrid Conventional,Yellow,Luzon,106,105,8.43
CW 1777,Hybrid Conventional,Yellow,Luzon,110,103,8.64
P3582YHR,Hybrid Conventional,Yellow,Mindanao,105,105,9.1
P3585YHR,Hybrid Conventional,Yellow,Luzon,105,107,8.89
DEKALB®8282S VTDoublePRO RIB Complete,Hybrid Conventional,Yellow,Luzon,108,105,9.11
DEKALB®8282S VTDoublePRO RIB Complete,Hybrid Conventional,Yellow,Mindanao,108,105,9.11
DEKALB®8131S VTDoublePRO RIB Complete,Hybrid Conventional,Yellow,Mindanao,107,107,7.99
NK306 BGT,Hybrid Conventional,Yellow,Mindanao,,103,10.82
NK6410 BGT,Hybrid Conventional,Yellow,Mindanao,,103,10.89
NK6414 BGT,Hybrid Conventional,Yellow,Luzon,,105,11.73
NK6414 BGT,Hybrid Conventional,Yellow,Mindanao,,105,11.73
NK6505 BGT,Hybrid Conventional,Yellow,Mindanao,,104,11.06
PT8130S VTDoublePRO RIB Complete,Hybrid Conventional,Yellow,Mindanao,109,107,7.65
PT8228S VTDoublePRO RIB Complete,Hybrid Conventional,Yellow,Mindanao,106,108,7.29
CW 476,Hybrid Conventional,Yellow,Luzon,108,105,9.44
PU9044SVTDoublePRO RIB Complete,Hybrid Conventional,Yellow,Mindanao,109,110,7.98
P3660YHR,Hybrid Conventional,Yellow,Mindanao,108,109,7.95
P3532YHR,Hybrid Conventional,Yellow,Luzon,109,107,10.04
P3532YHR,Hybrid Conventional,Yellow,Mindanao,109,107,8.31
NK6035 BGT,Hybrid Conventional,Yellow,Mindanao,109,107,8.58
NK6270 BGT,Hybrid Conventional,Yellow,Luzon,109,105.5,9.47
NK6270 BGT,Hybrid Conventional,Yellow,Mindanao,109,105.5,8.28
